qid	underline	answers	sentence	same_signature	exact_word
349007	待ちます	おちます/まちます/たちます/もちます	駅の前で友達を待ちます 。	待つ=まつ(chờ,N4); お待たせしました=おまたせしました(xin lỗi để anh/chị đợi lâu,N4)	
349015	私の体	わたしのてい/わたしのたい/わたしのからだ/わたしのしん	けんこうのために私の体を大切にします 。		
348922	持って	もって/まって/あって/とって	荷物を手に持っています。	持つ=もつ(cầm, mang, có,N4)	
348798	遊園地	ゆうえんじ/ゆえんじ/ゆうえんち/ゆえんち	明日はかぞくで遊園地へ遊びに行きます。		
349038	この町	このまち/このさと/このちょう/このむら	この町はとてもしずかです。	町=まち(thị trấn, phố,N5)	
348918	耳の穴	じのあな/じのくつ/みみのあな/みみのくち	イヤホンを使いすぎて耳の穴が痛いです。		
349022	着て	ついて/はいて/きて/おいて	今日は新しいふくを着ています。	着る=きる(mặc,N4); 着く=つく(đến nơi,N4)	
349096	両方	りょほう/りゅうほう/りょうほう/りょほう	両方の意見を聞いてみましょう。		
348876	好みます	すきます/このみます/たのみます/たしなみます	私はしずかな所を好みます。	好き=すき(thích,N5)	
348861	血液	ちいき/けついき/ちえき/けつえき	びょういんで血液けんさをしました。		
349050	特にすし	とく/とくに/とくぎ/とっくに	日本のりょうりは特にすしが好きです。	特に=とくに(đặc biệt là,N4)	
348858	空席	からせき/そらせき/こうせき/くうせき	レストランがこんでいて空席がありません。		
349023	注意	つうい/じゅうい/しゅうい/ちゅうい	車に注意して道を渡ります。	注意します=ちゅういします(chú ý [xe],N4)	
349072	林	はやし/もり/りん/き	彼は林さんという名前です。		
348878	降り	おり/のり/とまり/ふり	次の駅で電車を降ります。	降りる=おりる(xuống,N4); 降ろす=おろす(cho xuống, hạ xuống,N4); 降る=ふる(rơi (mưa, tuyết),N4)	
349046	頭部	ずぶ/ずほう/あたまぶ/とうぶ	彼はじこで頭部をけがしました。		
348951	宿舎	しゅくさ/じゅくしゃ/しゅくしゃ/じゅくさ	昨日は宿舎にとまりました。		
349085	雑木林	ざつきはやし/ざつきばやし/ぞうきばやし/ぞうきはやし	家のうしろに雑木林があります。		
348863	決めました	とめました/つめました/きめました/しめました	来月のりょこうのよていを決めました。	決めます=きめます(quyết định,N4)	
348762	何年	なんねん/なにねん/なにね/なんね	何年 住んでいますか。		
348896	私の名前	しのなまえ/わたしのなまえ/わたしのめい/わたくしのなまえ	私の名前は田中です。		
349058	上品	うえしな/かみしな/じょうひん/じょうしな	あの人はとても上品なかんじがします。		
348993	演説	あんぜつ/あんせつ/えんぜつ/えんせつ	彼はみんなの前で演説をしました 。		
349089	冷たい	つめい/ひめたい/つめたい/ひめい	暑いので冷たい飲み物がほしいです。	冷やします=ひやします(làm mát, làm lạnh,N4)	
348891	止む	やむ/のむ/とむ/あむ	雨が止むまでここで待ちましょう。	止まる=とまる(dừng lại,N4); 止める=とめる(dừng, đỗ,N4); 止めます=とめます(dừng [xe],N4); 止まります=とまります([xe] dừng,N4)	
348799	飲料	おんりょう/いんりょう/おんりょ/いんりょ	このじどうはんばいきで飲料水が買えます。		
349044	離島	りどう/りとう/りじま/りしま	離島へふねで行くのはたいへんです。		
349013	短命	しょめい/みじかめい/たんめい/だんめい	彼は短命でしたが、りっぱなじんせいでした。		
348914	白い紙	しろいがみ/しろいかみ/しろいし/しろいし	この白い紙を使ってもいいですか。		
348937	首が長い	くびがひろい/くびがながい/しゅがたかい/しゅがながい	彼は首が長いですね。		
348761	都内	とない/みやこうち/とうち/みやこない	週末は都内のホテルに泊まります。		
349053	配達	はいた/はいたつ/くばたつ/ぱいたつ	毎朝、新聞を配達しています。		
349034	着いたら	ついたら/おいたら/きいたら/あいたら	えきに着いたらでんわをしてください。	着る=きる(mặc,N4); 着く=つく(đến nơi,N4)	
348786	職員かいぎ	しょくういん/しょくにん/しょくいん/しょくい	学校の職員かいぎにしゅっせきします。		
348773	閉めて	とめて/しめて/やめて/あけて	まどを閉めてもいいですか。	閉まる=しまる(đóng lại,N4); 閉じる=とじる(đóng, khép,N4); 閉める=しめる(đóng,N4); 閉めます=しめます(đóng [cửa],N4); 閉まります=しまります([cửa] đóng,N4)	
348920	あの事	あのじ/あのし/あのごと/あのこと	あの事については、もうわすれました。	事=こと(việc, chuyện,N5)	
348807	音	おん/おと/ね/こえ	外から風の音が聞こえます。		
348809	化学	ばけがく/かがく/かかく/はかがく	大学で化学をせんもんに勉強しています。		
348929	借りました	おくりました/かりました/かえました/かしました	ぎんこうからお金を借りました。		
349026	山中町	やまなかちょう/やまなかじょ/やまなかまち/やまなかだ	彼は山中町という所に住んでいます。		
348792	飲む	こむ/のむ/すむ/よむ	毎日、水をたくさん飲むようにしています。	飲みます=のみます(uống,N5)	
348986	晴天	せいだん/はれそら/せいてん/はれてん	すばらしい晴天にめぐまれました。		
349004	太平洋	たいへいよう/たあへいよう/だいへいよう/ふとへいよう	日本は太平洋にめんしています。		
348943	終わりました	おわりました/さわりました/まわりました/しゅうわりました	やっと仕事が終わりました。	終わる=おわる(kết thúc,N4)	
348982	切って	おって/はって/とって/きって	ゆびを少し切ってしまいました。	切る=きる(cắt,N4); 切ります=きります(tắt [nguồn, công tắc điện],N4); 切れます=きれます([sợi dây] bị đứt,N4)	
349100	教えて	わかって/いって/ならって/おしえて	このかんじの意味を教えてください。	教える=おしえる(dạy, chỉ,N4)	
348947	集合	あつごう/しゅうごう/あつこう/しゅうこう	明日の朝、８時に集合してください。		
348991	積雪	しゃくせつ/せきせつ/せきゆき/しゃくゆき	昨日からずいぶん積雪があります。		
348916	次の	つぎの/まえの/じの/しの	次のかくを右にまがってください。		
348801	肉屋	にくおく/にくや/にくしつ/にくか	近くの肉屋で安い牛肉を買いました。		
349036	お昼ご飯	おなかごはん/おひるごはん/おあさごはん/およるごはん	お昼ご飯は何を食べましたか。		
348874	公	ひろ/こう/おおやけ/まわり	せいじかは公の場ではつごんにちゅういすべきです。		
348848	子牛	こいぬ/こうし/こねこ/こぎゅう	牧場でかわいい子牛を見ました。		
349098	見ました	よみました/みました/かきました/ききました	きのう、友だちとえいがを見ました。	見ます=みます(xem, nhìn,N5); 見えます=みえます(có thể nhìn thấy,N4); 見つけます=みつけます(tìm kiếm,N4); 見つかります=みつかります(tìm ra [chìa khóa],N4)	
349091	有料	ゆうりょ/ゆうりょう/ありりょう/うりょう	このちゅうしゃじょうは有料です。		
349028	小鳥	こちょう/めとり/おとり/ことり	木の上で小鳥がないています。		
348958	重力	じゅうりょく/おもりき/おもりょく/じゅうりき	ちきゅうの重力についてしらべます。		
348849	銀色	しろいろ/めいいろ/きんいろ/ぎんいろ	きれいな銀色のゆびわを買いました。		
349095	冷やして	さまして/ひやして/つめして/れいして	ビールをれいぞうこで冷やしておきます。	冷やします=ひやします(làm mát, làm lạnh,N4)	
348748	作り方	つくりかた/つくりほうが/つくりまえ/つくりがた	この料理は作り方が簡単です。		
348800	運転	はこてん/うんりん/はこりん/うんてん	彼はタクシーの運転をしています。		
348975	ひとり親	ひとりしん/ひとりし/ひとりおや/ひとりしんせつ	彼はひとり親かていでそだちました。	親しい=したしい(thân thiết,N4)	
349097	小林	こはやし/こばやし/おばやし/こりん	近くの小林さんをたずねました.		
349012	知らない	わからない/いらない/しらない/ちらない	むずかしいことは何も知らないです。	知る=しる(biết,N4); 知らせる=しらせる(thông báo,N4); お知らせ=おしらせ(thông báo,N4); 知らせます=しらせます(thông báo,N4)	
348872	決定	けって/けってい/けいってい/げってい	かいぎで新しいルールが決定しました。		
349077	羽毛	うもう/うけ/はけ/はもう	このまくらは羽毛を使っています。		
348772	両替	りょうけ/りゅうがえ/りょうがえ/りゅうけ	ぎんこうで両替をしました。		
349084	冷えます	さめます/きえます/ひえます/つめます	夜になるときゅうに足が冷えます。	冷やします=ひやします(làm mát, làm lạnh,N4)	
